timestamp,elapsed_time,oil_temp,fryer_temp,is_complete
1759903611.81,0.17,171.01,174.92,False
1759903612.14,0.50,169.87,174.69,False
1759903612.64,1.01,169.38,174.58,False
1759903613.14,1.51,170.30,175.26,False
1759903613.64,2.01,170.41,174.47,False
1759903614.15,2.51,169.77,174.72,False
1759903614.65,3.01,169.50,174.71,False
1759903615.15,3.51,170.21,175.08,False
1759903615.65,4.01,169.70,174.76,False
1759903616.15,4.51,168.99,174.97,False
1759903616.65,5.01,169.86,174.65,False
1759903617.15,5.51,169.55,174.86,False
1759903617.65,6.01,169.78,175.16,False
1759903618.15,6.51,169.47,174.74,False
1759903618.65,7.01,170.17,174.94,False
1759903619.15,7.51,169.66,174.39,False
1759903619.65,8.01,170.12,174.45,False
1759903620.15,8.52,169.97,174.54,False
1759903620.65,9.02,169.96,175.39,False
1759903621.15,9.52,169.53,174.90,False
1759903621.65,10.02,170.03,174.79,False
1759903622.16,10.52,169.17,174.32,False
1759903622.66,11.02,168.95,174.48,False
1759903623.16,11.52,169.38,175.24,False
1759903623.66,12.02,168.66,174.39,False
1759903624.16,12.52,168.75,174.71,False
1759903624.66,13.02,170.21,174.73,False
1759903625.16,13.52,170.25,174.44,False
1759903625.66,14.02,170.08,174.90,False
1759903626.16,14.52,169.37,174.73,False
1759903626.66,15.02,168.44,174.57,False
1759903627.16,15.52,169.64,174.47,False
1759903627.66,16.02,169.19,174.74,False
1759903628.16,16.52,169.07,174.70,False
1759903628.66,17.02,168.79,174.81,False
1759903629.16,17.53,169.20,174.27,False
1759903629.66,18.03,169.67,175.01,False
1759903630.16,18.53,169.50,174.50,False
1759903630.67,19.03,168.71,174.33,False
1759903631.17,19.53,169.76,174.54,False
1759903631.67,20.03,169.28,173.95,False
1759903632.17,20.53,169.81,173.72,False
1759903632.67,21.03,169.28,174.86,False
1759903633.17,21.53,169.16,174.32,False
1759903633.67,22.03,168.99,174.64,False
1759903634.17,22.53,168.47,174.50,False
1759903634.67,23.03,169.25,173.78,False
1759903635.17,23.53,169.37,174.11,False
1759903635.67,24.03,169.50,174.55,False
1759903636.17,24.53,169.31,174.57,False
1759903636.67,25.03,168.80,173.98,False
1759903637.17,25.53,169.46,173.82,False
1759903637.67,26.04,167.89,174.21,False
1759903638.17,26.54,168.33,174.12,False
1759903638.67,27.04,167.70,175.02,False
1759903639.18,27.54,168.34,174.11,False
1759903639.68,28.04,168.67,173.82,False
1759903640.18,28.54,168.06,173.87,False
1759903640.68,29.04,168.49,174.03,False
1759903641.18,29.54,168.63,173.56,False
1759903641.68,30.04,169.08,174.21,False
1759903642.18,30.54,168.98,174.15,False
1759903642.68,31.04,168.64,174.42,False
1759903643.18,31.54,168.71,173.90,False
1759903643.68,32.04,168.51,174.10,False
1759903644.18,32.54,167.52,174.02,False
1759903644.68,33.04,168.59,174.41,False
1759903645.18,33.54,168.49,174.21,False
1759903645.68,34.04,169.13,174.21,False
1759903646.18,34.54,168.58,173.86,False
